               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.036589,            0.025528,                   0,             0.65733,             0.54282,             0.56682,             0.24147,            0.050229,             0.02399,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.036319,            0.025513,                   0,             0.62235,             0.57557,             0.55715,             0.22607,            0.050524,            0.023848,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035297,            0.025497,                   0,             0.67855,             0.56171,             0.58971,             0.25019,            0.049405,             0.02461,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.035116,              0.0252,                   0,             0.64353,             0.59798,             0.59416,              0.2451,            0.049183,            0.023869,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.034341,            0.024979,                   0,             0.68735,             0.54282,             0.55594,             0.22521,            0.050716,            0.024421,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034729,            0.024664,                   0,             0.59162,             0.57683,             0.53941,             0.21648,            0.050901,            0.024439,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034323,            0.024339,                   0,              0.6448,             0.56045,             0.56093,             0.22975,            0.050427,             0.02473,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.03441,            0.024153,                   0,             0.68863,             0.54912,             0.55896,             0.23336,            0.050324,            0.024817,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033495,            0.023572,                   0,              0.6792,             0.56796,             0.58631,             0.24748,            0.049951,            0.024643,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033206,            0.024396,                   0,             0.65929,             0.57053,             0.57202,             0.24287,            0.050625,            0.024824,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03323,            0.023837,                   0,             0.61612,             0.58942,             0.56631,             0.23778,            0.050414,            0.024917,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.032988,            0.023375,                   0,               0.669,             0.55542,             0.57262,              0.2404,            0.051256,            0.025559,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.03276,             0.02381,                   0,             0.64941,             0.56297,             0.55008,             0.22465,            0.051371,             0.02593,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.032156,            0.023274,                   0,             0.61184,             0.57809,             0.54119,             0.21465,            0.051145,            0.025814,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.031851,            0.023353,                   0,             0.61929,             0.57773,             0.53972,             0.21862,            0.050674,            0.026224,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032124,            0.023249,                   0,             0.65895,             0.56045,             0.55485,             0.22219,            0.050594,            0.025756,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.031672,             0.02267,                   0,             0.65554,             0.57305,             0.56167,             0.22729,            0.050492,            0.025912,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.031764,            0.022942,                   0,             0.63406,             0.55646,             0.53562,             0.22797,            0.050571,            0.026049,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.031302,            0.022589,                   0,             0.60661,             0.61965,             0.56101,             0.23018,            0.050612,            0.026245,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.030757,            0.022748,                   0,             0.66125,             0.56545,             0.54941,             0.22928,            0.050694,            0.026314,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.031396,            0.022564,                   0,             0.65029,             0.56675,             0.55489,             0.22844,            0.050767,             0.02625,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030746,            0.022294,                   0,              0.6564,             0.54135,             0.53669,             0.21968,            0.051285,             0.02658,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03039,            0.022275,                   0,             0.65318,              0.5503,             0.54532,             0.23197,            0.051274,            0.026672,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.030027,            0.021906,                   0,             0.66028,             0.56549,             0.55736,             0.23085,            0.051562,            0.026724,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.029923,            0.021982,                   0,             0.66316,             0.55793,             0.54584,             0.22138,            0.050819,            0.026937,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029895,             0.02206,                   0,             0.67554,             0.54281,             0.55845,             0.23097,            0.051136,            0.027016,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.029924,            0.021306,                   0,             0.66812,             0.51763,             0.52927,             0.22181,            0.051281,            0.027635,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.029501,            0.021053,                   0,             0.67819,             0.54146,             0.55318,             0.22844,            0.051217,            0.028461,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.029208,            0.021558,                   0,             0.60935,             0.59068,             0.55324,             0.23492,            0.050343,            0.027331,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.029235,            0.021022,                   0,             0.68165,             0.54282,             0.54962,             0.22503,            0.051424,            0.027814,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.028636,            0.020869,                   0,             0.65402,             0.54534,             0.53998,             0.22664,            0.051576,            0.028466,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.028642,            0.021178,                   0,             0.59806,             0.59405,             0.54195,             0.22983,            0.051643,            0.027434,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.027994,            0.020921,                   0,             0.67346,             0.55668,             0.53958,              0.2283,            0.051843,            0.028812,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.028318,            0.021035,                   0,             0.64539,             0.56423,             0.53516,             0.22021,            0.052477,            0.028229,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.028172,             0.02066,                   0,             0.65818,             0.56019,             0.54479,             0.23428,            0.051858,             0.02828,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.028081,            0.020252,                   0,             0.64148,             0.57913,             0.54136,             0.23791,            0.051927,            0.028717,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.027683,            0.020488,                   0,             0.65345,             0.56045,             0.53136,              0.2281,            0.051468,            0.028848,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02763,            0.020465,                   0,             0.65277,             0.55668,              0.5365,             0.22892,            0.052036,            0.028586,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.027116,            0.019337,                   0,             0.60991,             0.56908,             0.52447,             0.21988,            0.051849,            0.029191,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.027201,            0.020412,                   0,             0.65824,             0.56297,             0.53623,             0.22598,            0.051341,            0.029742,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.026924,            0.019583,                   0,              0.6491,             0.56148,              0.5297,             0.22059,            0.051679,            0.029908,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.026637,            0.019588,                   0,             0.64538,             0.58942,             0.53687,             0.22623,            0.051069,            0.029539,                   0,            0.002179,            0.002179,            0.002179
